Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023 12:00,14/2/2023 16:00,14/2/2023 20:00,15/2/2023 00:00,15/2/2023 04:00,15/2/2023 08:00,15/2/2023 12:00,15/2/2023 16:00,15/2/2023 20:00,16/2/2023 00:00,16/2/2023 04:00,16/2/2023 08:00,16/2/2023 12:00,16/2/2023 16:00,16/2/2023 20:00,17/2/2023 00:00,17/2/2023 04:00,17/2/2023 08:00,17/2/2023 12:00,17/2/2023 16:00,17/2/2023 20:00,18/2/2023 00:00,18/2/2023 04:00,18/2/2023 08:00,18/2/2023 12:00,18/2/2023 16:00,18/2/2023 20:00,19/2/2023 00:00,19/2/2023 04:00,19/2/2023 08:00,19/2/2023 12:00,19/2/2023 16:00,19/2/2023 20:00,20/2/2023 00:00,20/2/2023 04:00,20/2/2023 08:00,20/2/2023 12:00,20/2/2023 16:00,20/2/2023 20:00,21/2/2023 00:00,21/2/2023 04:00,21/2/2023 08:00,21/2/2023 12:00,21/2/2023 16:00,21/2/2023 20:00,22/2/2023 00:00,22/2/2023 04:00,22/2/2023 08:00,22/2/2023 12:00,22/2/2023 16:00,22/2/2023 20:00,23/2/2023 00:00,23/2/2023 04:00,23/2/2023 08:00,23/2/2023 12:00,23/2/2023 16:00,23/2/2023 20:00,24/2/2023 00:00,24/2/2023 04:00,24/2/2023 08:00,24/2/2023 12:00,24/2/2023 16:00,24/2/2023 20:00,25/2/2023 00:00,25/2/2023 04:00,25/2/2023 08:00,25/2/2023 12:00,25/2/2023 16:00,25/2/2023 20:00,26/2/2023 00:00,26/2/2023 04:00,26/2/2023 08:00,26/2/2023 12:00,26/2/2023 16:00,26/2/2023 20:00,27/2/2023 00:00,27/2/2023 04:00,27/2/2023 08:00,27/2/2023 12:00,27/2/2023 16:00,27/2/2023 20:00,28/2/2023 00:00,28/2/2023 04:00,28/2/2023 08:00,28/2/2023 12:00,28/2/2023 16:00,28/2/2023 20:00,1/3/2023 00:00,1/3/2023 04:00,1/3/2023 08:00,1/3/2023 12:00,1/3/2023 16:00,1/3/2023 20:00,2/3/2023 00:00,2/3/2023 04:00,2/3/2023 08:00,2/3/2023 12:00,2/3/2023 16:00,2/3/2023 20:00,3/3/2023 00:00,3/3/2023 04:00,3/3/2023 08:00,3/3/2023 12:00,3/3/2023 16:00,3/3/2023 20:00,4/3/2023 00:00,4/3/2023 04:00,4/3/2023 08:00,4/3/2023 12:00,4/3/2023 16:00,4/3/2023 20:00,5/3/2023 00:00,5/3/2023 04:00,5/3/2023 08:00,5/3/2023 12:00,5/3/2023 16:00,5/3/2023 20:00,6/3/2023 00:00,6/3/2023 04:00,6/3/2023 08:00,6/3/2023 12:00,6/3/2023 16:00,6/3/2023 20:00,7/3/2023 00:00,7/3/2023 04:00,7/3/2023 08:00,7/3/2023 12:00,7/3/2023 16:00,7/3/2023 20:00
940 110012305980,w1637,940 110016191551,w192406,No Shade,,31,9,2,4,6,7,1,,2,2,9,,6,22,2,,10,2,2,5,1,4,40,5,10,4,2,9,11,12,6,2,3,4,4,1,4,8,3,5,18,14,4,1,7,2,5,17,9,8,5,2,7,9,20,2,1,5,31,11,4,3,4,8,10,9,9,5,21,1,6,5,9,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940 110012305980,w1637,940 110012553757,w736,No Shade,,3,10,3,1,1,8,3,11,6,1,1,,5,2,1,,4,,6,7,7,1,4,18,3,20,21,9,4,20,3,8,5,6,1,15,28,2,,3,7,14,2,7,9,1,20,1,2,3,9,7,16,16,3,6,3,5,2,2,10,5,17,4,7,1,4,8,6,6,10,4,9,14,13,7,10,9,5,7,9,16,19,22,9,3,2,7,4,5,6,2,8,9,19,,4,11,8,7,19,13,3,38,1,6,9,7,4,5,28,26,2,5,1,7,1,16,17,19,9,12,,,,,,
940 110012305980,w1637,940 110006544051,2328,No Shade,,10,5,4,2,28,8,3,,6,1,3,4,9,8,4,1,16,26,2,3,3,3,25,7,3,16,1,4,14,16,9,5,6,4,11,,3,7,1,4,6,7,8,6,4,31,3,8,5,7,5,7,13,24,13,3,15,2,9,11,7,21,13,5,15,17,5,8,12,6,6,5,17,8,1,3,6,13,7,9,10,28,5,5,6,6,4,4,5,19,27,17,35,8,26,26,3,6,3,4,14,13,9,15,4,38,8,7,5,14,3,5,10,62,5,7,5,,48,74,31,1,,,,,,
940 110012305980,w1637,940 110009539429,MU2938,No Shade,,6,9,7,2,22,2,,10,7,3,1,5,8,3,3,2,8,9,7,4,3,3,20,7,20,3,19,1,4,18,8,4,11,16,2,2,11,9,6,8,8,24,11,6,14,9,5,14,15,5,9,5,15,18,12,17,4,6,4,19,3,6,8,10,6,23,2,4,5,8,29,13,42,8,9,5,1,12,16,8,7,28,18,19,35,11,33,7,20,39,8,4,11,10,10,29,13,2,7,9,10,15,6,10,36,4,,40,18,18,8,7,1,25,8,9,1,1,24,24,11,14,,,,,,
940 110012305980,w1637,940 110012566807,2696,No Shade,,8,7,2,2,4,15,17,2,5,4,3,23,2,11,1,12,10,3,14,4,2,,12,7,3,7,1,5,10,22,2,6,2,2,1,5,12,2,2,5,7,9,3,6,1,5,11,17,39,16,2,5,,20,21,5,,1,2,3,17,2,6,8,2,4,4,2,1,5,34,2,22,2,2,,15,29,10,12,61,9,33,55,7,13,31,9,10,14,3,4,8,2,3,8,1,3,6,17,19,27,18,3,11,1,2,1,8,5,1,9,7,3,6,2,15,12,7,76,1,,,,,,,
940 110012305980,w1637,940 110009422847,2024,No Shade,,1,10,8,5,2,9,2,3,3,2,7,13,5,8,3,2,19,2,5,29,4,,1,,9,9,9,7,3,24,6,5,5,1,3,2,3,5,3,18,14,7,3,8,3,2,5,13,6,6,4,6,,5,23,11,,5,,2,9,6,10,4,17,14,13,7,16,5,3,6,4,3,8,4,,16,7,5,12,24,5,,1,6,3,11,12,10,8,2,8,3,9,1,5,6,13,5,11,6,8,14,7,5,8,4,9,5,8,12,14,15,11,3,1,,5,26,7,,,,,,,
940 110012305980,w1637,940 110009539378,2378,No Shade,,15,11,5,4,1,4,3,32,11,7,18,4,,2,9,3,2,1,3,9,7,15,22,6,19,3,3,4,18,4,3,10,6,2,1,1,7,7,7,11,5,36,20,12,26,12,3,5,10,13,5,13,13,27,18,6,10,25,6,3,12,15,4,6,7,8,7,1,5,4,3,1,19,14,8,7,7,7,11,25,7,14,52,2,3,6,4,4,4,3,2,6,11,14,5,15,1,3,10,8,10,7,6,3,6,4,19,9,28,8,30,5,10,31,16,7,64,,19,98,9,21,,,,,,
940 110012305980,w1637,940 110009539487,Y1093,No Shade,,2,9,9,4,,,3,,11,2,,5,2,2,6,6,8,2,4,5,4,2,,8,4,5,5,15,4,3,2,14,5,25,3,5,8,11,1,19,10,8,2,2,12,10,4,4,3,7,13,1,10,8,2,12,4,10,46,6,9,2,,4,9,2,11,31,17,5,9,4,34,76,15,23,4,,4,5,7,18,11,1,5,7,3,2,9,,4,15,23,6,16,10,1,11,3,15,21,19,17,41,59,8,10,5,11,15,2,7,36,1,10,10,11,3,,,,,,,,,,
940 110012305980,w1637,940 110009541265,W192251,No Shade,,9,6,9,8,12,25,11,12,16,12,5,3,,9,,,3,24,2,3,3,2,3,7,1,10,9,37,5,5,12,2,5,26,4,24,3,4,1,7,1,12,29,10,7,2,4,2,8,6,4,8,30,3,10,2,5,4,1,3,12,7,10,16,2,35,22,43,10,5,11,3,11,12,16,12,8,11,3,6,8,24,15,5,6,6,3,6,1,7,3,4,5,5,15,6,,2,11,10,4,,2,7,11,2,4,,11,9,4,4,6,,4,24,1,,,1,,,,,,,,
940 110012305980,w1637,940 110006544506,2032,No Shade,2,8,14,12,3,,2,19,5,5,,5,3,4,6,4,1,5,1,11,28,14,18,9,3,12,3,3,10,,2,13,2,4,10,,7,1,3,13,3,5,8,16,4,5,8,4,11,15,15,9,5,3,34,6,7,9,5,23,10,29,6,4,6,4,1,10,9,24,16,6,15,16,15,5,7,10,3,5,6,7,14,3,2,5,4,10,5,14,4,5,5,,35,2,4,4,24,8,2,16,3,6,17,2,9,4,,22,13,7,8,2,1,3,32,3,3,,,,,,,,,,
