Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2023,15/2/2023,16/2/2023,17/2/2023,18/2/2023,19/2/2023,20/2/2023,21/2/2023,22/2/2023,23/2/2023,24/2/2023,25/2/2023,26/2/2023,27/2/2023,28/2/2023,1/3/2023,2/3/2023,3/3/2023,4/3/2023,5/3/2023,6/3/2023,7/3/2023
940 110012305980,w1637,940 110016191551,w192406,No Shade,40,20,41,21,64,42,24,45,48,45,55,45,44,7,,,,,,,,
940 110012305980,w1637,940 110012553757,w736,No Shade,13,27,15,18,53,65,57,33,36,57,27,41,49,51,78,26,51,88,32,69,74,
940 110012305980,w1637,940 110006544051,2328,No Shade,15,45,31,52,57,49,31,32,58,65,65,63,54,39,60,76,104,58,76,92,159,
940 110012305980,w1637,940 110009539429,MU2938,No Shade,15,43,27,33,56,54,51,63,62,76,42,53,105,51,118,111,75,57,116,58,75,
940 110012305980,w1637,940 110012566807,2696,No Shade,15,42,48,44,31,46,24,32,89,53,25,26,66,68,178,71,25,90,28,28,111,
940 110012305980,w1637,940 110009422847,2024,No Shade,11,29,38,60,23,54,19,53,35,49,22,65,37,40,48,46,32,57,38,63,39,
940 110012305980,w1637,940 110009539378,2378,No Shade,26,49,42,27,72,42,24,91,69,82,71,33,46,65,84,23,49,44,74,99,211,
940 110012305980,w1637,940 110009539487,Y1093,No Shade,11,16,22,31,23,43,57,42,40,46,77,57,145,51,49,33,67,116,108,66,14,
940 110012305980,w1637,940 110009541265,W192251,No Shade,15,77,45,32,26,70,66,60,29,57,32,128,52,56,64,24,33,34,37,42,2,
940 110012305980,w1637,940 110006544506,2032,No Shade,24,41,23,50,59,30,25,49,58,64,82,34,92,36,35,43,69,52,50,53,6,
940 110012305980,w1637,940 110012567028,W1556,No Shade,5,52,22,34,77,48,42,74,39,49,52,41,50,69,98,34,54,56,65,96,1,
940 110012305980,w1637,940 110006544658,2509,No Shade,21,67,41,17,48,40,71,90,28,36,39,24,87,69,76,39,45,42,38,47,93,
940 110012305980,w1637,940 110006720136,2381,No Shade,13,51,37,32,25,52,60,39,52,45,26,33,6,,,,,,,,,
940 110012305980,w1637,940 110009540874,2637,No Shade,3,25,70,66,41,34,17,37,98,48,32,75,53,76,143,64,69,60,78,102,25,
940 110012305980,w1637,940 110012568263,2994,No Shade,11,28,47,37,48,52,11,28,101,72,17,26,66,93,94,44,64,105,105,50,117,
940 110012305980,w1637,940 110009540403,2353,No Shade,15,52,22,23,30,45,42,64,43,46,69,28,58,60,58,45,35,62,32,44,10,
940 110012305980,w1637,940 110009539785,2493,No Shade,28,33,94,47,37,63,19,68,82,73,38,41,49,78,70,46,29,100,37,7,,
940 110012305980,w1637,940 110009421855,2572,No Shade,6,14,26,46,39,38,49,35,24,22,14,16,11,8,16,,,,,,,
940 110012305980,w1637,940 110009539979,W192358,No Shade,8,16,146,26,32,33,22,60,48,54,28,32,105,54,121,48,72,72,88,72,,
940 110012305980,w1637,940 110006544025,2545,No Shade,21,11,25,18,22,42,35,43,24,70,20,34,67,78,48,140,106,31,32,,,
940 110012305980,w1637,940 110009423262,W192426,No Shade,6,34,34,30,68,33,36,28,45,72,72,32,63,33,46,36,81,46,50,51,45,
940 110012305980,w1637,940 110009538664,2437,No Shade,9,31,39,15,83,41,52,51,26,49,39,53,18,18,56,28,32,63,26,14,21,
940 110012305980,w1637,940 110009539860,2622,No Shade,3,13,37,73,31,83,18,46,35,16,16,7,12,14,5,,,,,,,
940 110012305980,w1637,940 110009540374,2928,No Shade,25,26,32,54,39,38,29,44,63,29,59,62,79,57,49,39,79,56,30,100,35,
940 110012305980,w1637,940 110006544250,Y1018,No Shade,4,8,23,1,,,,3,11,16,20,27,42,42,62,34,29,26,54,77,23,
940 110012305980,w1637,940 110009421996,w9562,No Shade,5,20,36,18,38,24,36,33,31,45,97,49,82,56,28,45,37,39,54,36,13,
940 110012305980,w1637,940 110009539709,W192166,No Shade,4,36,38,81,66,52,40,52,14,53,29,26,83,91,60,52,42,46,49,43,37,
940 110012305980,w1637,940 110006544091,w192160,No Shade,32,60,38,62,63,39,65,66,59,47,94,60,114,41,49,45,57,44,34,31,29,
940 110012305980,w1637,940 110009539914,2604,No Shade,27,17,30,55,27,70,32,40,44,50,65,32,73,56,42,37,29,44,24,56,18,
940 110012305980,w1637,940 110006544309,2423,No Shade,11,53,22,59,22,34,41,59,55,39,17,87,53,42,95,45,45,42,59,62,77,
940 110012305980,w1637,940 110012565400,W300,No Shade,9,24,30,24,20,28,46,24,25,26,57,10,41,24,,,,,,,,
940 110012305980,w1637,940 110009538497,2947,No Shade,16,17,17,49,33,52,31,44,41,33,19,37,57,45,32,30,41,31,24,43,23,
940 110012305980,w1637,940 110009538382,O45,No Shade,20,11,14,38,46,23,21,31,74,49,52,56,71,36,61,43,82,61,65,55,,
940 110012305980,w1637,940 110009422300,2962,No Shade,19,29,14,29,31,46,24,34,30,43,32,91,53,35,32,37,27,43,30,30,47,
940 110012305980,w1637,940 110006544403,W1707,No Shade,6,34,18,23,37,30,35,53,54,59,48,60,82,45,111,41,47,60,40,72,31,
940 110012305980,w1637,940 110009541760,2310,No Shade,12,24,25,35,27,46,28,31,33,53,63,46,59,76,37,33,47,49,73,54,,
940 110012305980,w1637,940 110006543939,W192556,No Shade,26,73,47,59,39,29,33,37,74,39,47,102,79,51,40,14,32,34,42,52,81,
940 110012305980,w1637,940 110006544980,2981,No Shade,16,35,32,25,22,34,72,82,50,21,63,26,24,45,56,28,26,59,30,44,19,
940 110012305980,w1637,940 110012554130,w192330,No Shade,7,61,53,68,29,41,28,64,78,52,29,55,44,47,75,65,41,55,38,32,,
940 110012305980,w1637,940 110009423180,W1654,No Shade,15,83,69,44,54,61,39,42,41,51,22,39,45,103,99,54,56,45,43,96,63,
940 110012305980,w1637,940 110012553725,2411,No Shade,19,71,18,42,37,80,29,44,89,57,75,41,31,46,54,35,33,42,24,59,49,
