Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2024 12:00,14/2/2024 16:00,14/2/2024 20:00,15/2/2024 00:00,15/2/2024 04:00,15/2/2024 08:00,15/2/2024 12:00,15/2/2024 16:00,15/2/2024 20:00,16/2/2024 00:00,16/2/2024 04:00,16/2/2024 08:00,16/2/2024 12:00,16/2/2024 16:00,16/2/2024 20:00,17/2/2024 00:00,17/2/2024 04:00,17/2/2024 08:00,17/2/2024 12:00,17/2/2024 16:00,17/2/2024 20:00,18/2/2024 00:00,18/2/2024 04:00,18/2/2024 08:00,18/2/2024 12:00,18/2/2024 16:00,18/2/2024 20:00,19/2/2024 00:00,19/2/2024 04:00,19/2/2024 08:00,19/2/2024 12:00,19/2/2024 16:00,19/2/2024 20:00,20/2/2024 00:00,20/2/2024 04:00,20/2/2024 08:00,20/2/2024 12:00,20/2/2024 16:00,20/2/2024 20:00,21/2/2024 00:00,21/2/2024 04:00,21/2/2024 08:00,21/2/2024 12:00,21/2/2024 16:00,21/2/2024 20:00,22/2/2024 00:00,22/2/2024 04:00,22/2/2024 08:00,22/2/2024 12:00,22/2/2024 16:00,22/2/2024 20:00,23/2/2024 00:00,23/2/2024 04:00,23/2/2024 08:00,23/2/2024 12:00,23/2/2024 16:00,23/2/2024 20:00,24/2/2024 00:00,24/2/2024 04:00,24/2/2024 08:00,24/2/2024 12:00,24/2/2024 16:00,24/2/2024 20:00,25/2/2024 00:00,25/2/2024 04:00,25/2/2024 08:00,25/2/2024 12:00,25/2/2024 16:00,25/2/2024 20:00,26/2/2024 00:00,26/2/2024 04:00,26/2/2024 08:00,26/2/2024 12:00,26/2/2024 16:00,26/2/2024 20:00,27/2/2024 00:00,27/2/2024 04:00,27/2/2024 08:00,27/2/2024 12:00,27/2/2024 16:00,27/2/2024 20:00,28/2/2024 00:00,28/2/2024 04:00,28/2/2024 08:00,28/2/2024 12:00,28/2/2024 16:00,28/2/2024 20:00,29/2/2024 00:00,29/2/2024 04:00,29/2/2024 08:00,29/2/2024 12:00,29/2/2024 16:00,29/2/2024 20:00,1/3/2024 00:00,1/3/2024 04:00,1/3/2024 08:00,1/3/2024 12:00,1/3/2024 16:00,1/3/2024 20:00,2/3/2024 00:00,2/3/2024 04:00,2/3/2024 08:00,2/3/2024 12:00,2/3/2024 16:00,2/3/2024 20:00,3/3/2024 00:00,3/3/2024 04:00,3/3/2024 08:00,3/3/2024 12:00,3/3/2024 16:00,3/3/2024 20:00,4/3/2024 00:00,4/3/2024 04:00,4/3/2024 08:00,4/3/2024 12:00,4/3/2024 16:00,4/3/2024 20:00,5/3/2024 00:00,5/3/2024 04:00,5/3/2024 08:00,5/3/2024 12:00,5/3/2024 16:00,5/3/2024 20:00,6/3/2024 00:00,6/3/2024 04:00,6/3/2024 08:00,6/3/2024 12:00,6/3/2024 16:00,6/3/2024 20:00,7/3/2024 00:00,7/3/2024 04:00,7/3/2024 08:00,7/3/2024 12:00
951 000016108674,w192584,940 110009539086,w696,No Shade,,5,7,22,5,5,4,4,21,58,22,11,22,9,4,1,8,14,10,7,5,23,9,7,1,3,9,14,2,5,14,17,7,11,6,11,2,19,,7,7,5,,4,11,7,2,9,4,4,7,6,9,12,22,4,1,17,1,1,6,8,2,1,10,3,,,14,53,2,5,6,23,25,,25,8,5,6,19,58,27,15,48,12,23,,3,5,13,4,17,2,1,3,7,2,3,1,2,23,15,3,14,27,7,6,28,2,13,6,5,,3,5,6,1,2,25,26,1,,,,,,,,,,,
951 000016108674,w192584,982 123812217553,2400,No Shade,,,3,5,11,7,26,4,6,1,6,22,3,9,5,5,1,8,24,3,3,7,,9,1,,4,1,2,6,4,2,8,20,18,25,20,25,12,3,12,15,14,4,13,8,16,3,16,6,6,3,1,5,20,20,1,,2,8,,3,4,,2,,,,18,8,11,8,17,42,2,2,9,17,5,2,20,21,6,28,17,24,29,2,1,3,14,3,2,4,2,2,1,6,3,,3,,14,6,8,3,15,,9,6,15,5,4,7,4,4,5,4,13,27,16,5,,,,,,,,,,,
951 000016108674,w192584,940 110012565646,3712,No Shade,,10,12,5,3,9,4,5,14,6,21,2,7,7,8,3,1,1,3,10,9,27,10,10,4,1,10,10,4,6,1,9,8,5,1,1,3,1,1,8,6,,3,8,5,7,21,9,9,6,7,11,5,14,5,3,,6,13,6,3,6,,2,4,8,2,1,2,1,2,17,13,2,53,,60,55,3,7,4,9,18,14,6,9,12,,2,7,4,1,9,11,3,4,11,,1,2,8,3,6,7,10,2,,5,5,5,10,17,10,1,6,9,3,4,9,20,27,3,,,,,,,,,,,
951 000016108674,w192584,940 110019091442,w797,No Shade,,5,5,16,4,7,14,7,4,6,5,17,4,,13,6,2,17,16,15,5,14,6,10,7,4,2,28,3,2,10,3,19,6,5,11,1,,9,4,10,16,44,10,9,6,1,1,8,3,17,5,3,4,10,11,7,16,8,7,5,7,17,3,3,25,1,,4,1,4,8,49,14,,9,5,1,1,12,76,30,4,61,9,8,29,,5,6,10,3,13,10,4,,3,3,5,1,2,,3,4,10,18,4,,3,3,8,1,,1,13,24,8,19,6,43,11,2,,,,,,,,,,,
951 000016108674,w192584,940 110012564878,w192255,No Shade,,4,9,9,11,15,21,2,,2,7,6,5,3,5,5,4,4,3,3,,3,6,,6,2,6,6,,7,19,3,3,8,8,10,8,7,2,4,15,15,,8,,5,15,2,21,12,19,10,4,1,6,2,4,8,4,2,2,,16,2,3,4,10,6,,3,3,10,4,1,18,1,17,54,18,13,30,28,13,11,38,7,2,,4,9,4,6,16,28,3,7,7,2,6,2,1,21,17,6,14,5,1,3,6,10,19,4,5,3,,18,7,4,2,28,27,,,,,,,,,,,,
951 000016108674,w192584,940 110019088608,w956,No Shade,,3,8,3,,9,6,3,1,2,3,3,6,9,2,7,1,14,3,7,3,7,8,7,2,3,6,11,5,19,2,5,4,10,6,3,5,4,2,6,3,,,5,4,7,12,18,13,7,10,4,3,3,18,1,4,9,3,4,2,1,1,2,3,1,14,,8,17,72,43,51,2,6,1,9,7,12,3,13,23,27,11,1,5,6,,,15,3,4,10,4,11,2,3,2,7,4,3,12,10,4,7,4,3,,1,3,17,21,7,6,,2,3,2,1,8,33,,,,,,,,,,,,
951 000016108674,w192584,940 110019088701,w192313,No Shade,,,6,3,1,1,2,1,2,9,12,9,5,5,13,7,2,24,13,7,3,3,,2,6,9,1,3,4,1,56,47,51,16,3,6,4,,1,15,5,5,,1,5,4,8,7,11,7,5,66,4,12,6,5,3,47,1,11,2,,,3,25,2,59,,,,3,27,21,1,4,33,12,2,1,7,3,,4,6,12,9,,,2,2,8,1,9,5,2,1,12,1,1,,3,1,9,3,6,8,5,,7,1,1,2,1,3,3,4,6,5,1,28,34,27,,,,,,,,,,,
951 000016108674,w192584,940 110009540316,2033,No Shade,,8,4,5,8,16,,2,25,2,2,15,67,7,7,15,19,7,1,4,4,5,9,1,11,9,3,,13,5,4,16,3,5,6,10,11,3,4,6,4,14,23,3,63,9,23,5,9,3,11,10,27,12,7,11,3,1,1,5,,13,2,1,11,1,2,3,18,17,18,11,10,16,17,2,14,27,32,7,21,5,3,7,38,7,12,,,1,5,6,3,34,,6,13,15,2,3,23,21,14,24,16,6,39,1,15,4,4,,4,14,22,1,1,2,4,8,34,1,,,,,,,,,,,
951 000016108674,w192584,940 110009422824,y447,No Shade,,4,5,5,2,5,11,4,4,2,2,13,1,3,3,7,2,3,6,2,13,4,,1,7,3,2,2,8,3,4,18,4,,13,12,14,5,32,4,7,12,,9,6,7,14,7,8,6,4,10,1,8,9,9,12,33,4,4,3,4,1,4,1,10,2,1,,,3,5,5,16,65,,6,2,20,26,4,12,7,14,75,2,,,2,1,13,5,3,8,2,4,29,10,87,12,8,3,1,2,12,3,2,,4,19,7,1,2,3,2,1,6,2,,20,68,14,,,,,,,,,,,
951 000016108674,w192584,940 110019092805,w1664,No Shade,,2,6,4,4,5,1,5,1,6,7,2,,,1,5,9,1,2,13,11,,,1,17,10,30,1,,14,5,6,4,3,2,3,,4,,8,9,2,,3,1,4,2,20,3,5,2,4,10,5,19,56,75,,19,,26,5,,,2,,2,,7,1,8,3,1,4,5,,4,3,19,6,15,6,8,9,5,9,18,,1,3,7,1,4,3,1,4,13,,21,3,7,,3,5,8,6,4,3,,2,30,49,4,6,1,1,6,1,7,33,5,,,,,,,,,,,,
