Ram_EID,Ram_coller,Ewe_EID,Ewe_coller,Plot,14/2/2024,15/2/2024,16/2/2024,17/2/2024,18/2/2024,19/2/2024,20/2/2024,21/2/2024,22/2/2024,23/2/2024,24/2/2024,25/2/2024,26/2/2024,27/2/2024,28/2/2024,29/2/2024,1/3/2024,2/3/2024,3/3/2024,4/3/2024,5/3/2024,6/3/2024,7/3/2024
951 000016108674,w192584,940 110009539086,w696,No Shade,12,61,126,45,52,59,49,34,33,54,35,28,114,63,183,42,18,58,83,25,55,,
951 000016108674,w192584,982 123812217553,2400,No Shade,3,59,46,44,21,23,120,61,55,50,17,20,88,55,125,25,18,31,48,29,65,,
951 000016108674,w192584,940 110012565646,3712,No Shade,22,40,51,27,62,38,12,30,59,38,34,19,88,129,68,23,30,36,27,46,63,,
951 000016108674,w192584,940 110019091442,w797,No Shade,10,52,45,61,43,65,32,93,36,40,60,36,76,104,141,37,25,20,36,47,81,,
951 000016108674,w192584,940 110012564878,w192255,No Shade,13,58,28,19,23,38,43,42,74,27,32,25,39,133,99,39,53,61,44,37,61,,
951 000016108674,w192584,940 110019088608,w956,No Shade,11,22,25,35,33,46,30,18,67,33,20,28,191,45,73,32,29,40,28,39,44,,
951 000016108674,w192584,940 110019088701,w192313,No Shade,6,10,53,56,21,162,30,31,42,96,61,89,56,58,31,22,22,22,22,19,95,,
951 000016108674,w192584,940 110009540316,2033,No Shade,12,56,100,50,38,41,39,113,60,70,22,36,89,103,72,15,70,101,69,42,49,,
951 000016108674,w192584,940 110009422824,y447,No Shade,9,31,24,33,17,39,76,38,46,49,49,18,94,58,110,24,140,38,35,15,104,,
951 000016108674,w192584,940 110019092805,w1664,No Shade,8,20,16,41,58,30,12,23,36,169,50,11,22,47,55,16,42,26,45,67,46,,
951 000016108674,w192584,940 110012565504,w299,No Shade,18,34,48,21,16,22,28,15,58,65,78,43,77,118,75,30,24,41,27,34,89,,
951 000016108674,w192584,940 110009539115,2583,No Shade,12,21,17,41,53,42,24,23,63,55,44,31,68,77,170,32,39,44,53,21,97,,
951 000016108674,w192584,940 110009538750,2534,No Shade,11,57,60,32,44,58,67,80,52,78,30,23,102,173,90,46,44,37,74,30,86,,
951 000016108674,w192584,940 110019091368,2637,No Shade,9,23,18,66,27,36,46,14,50,23,42,35,94,57,45,30,57,102,23,20,61,,
951 000016108674,w192584,940 110012567023,2614,No Shade,10,32,33,40,48,54,48,26,67,52,19,26,95,164,118,49,82,29,39,32,149,,
951 000016108674,w192584,940 110012567072,2035,No Shade,19,30,9,46,23,28,32,13,41,35,18,14,58,59,56,23,27,26,33,17,71,,
951 000016108674,w192584,940 110019091207,2665,No Shade,8,38,36,60,57,35,46,34,44,51,20,27,41,74,88,31,34,83,30,42,89,,
951 000016108674,w192584,940 110012566439,w192249,No Shade,15,30,34,45,83,32,51,27,39,50,57,34,18,142,76,20,55,36,33,28,82,,
951 000016108674,w192584,940 110009530573,2643,No Shade,21,51,86,40,77,79,44,18,61,60,27,12,73,96,86,32,30,34,28,16,51,,
951 000016108674,w192584,940 110012568263,w1624,No Shade,11,27,27,54,16,28,39,53,51,52,20,52,61,79,88,41,44,11,17,79,50,,
951 000016108674,w192584,940 110009539378,3798,No Shade,12,43,41,31,62,68,44,40,59,48,48,88,87,23,19,,,,,,,,
